,Die Freie Schule Odenwald – Drachenschule,Federal Republic of Germany,Yes,31,Birkenweg,,Wald-Michelbach,69483, www.drachenschule-odenwald.de,sekretariat@drachenschule-odenwald.de,00496207924851,https://www.facebook.com/fso.drachenschule,,,11/1/2005,,50,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Birkenweg+31/@49.578687,8.8192347,17z/data=!3m1!4b1!4m2!3m1!1s0x4797e760547579ff:0x6cc01baf44149a7c",
,Demokratische Schule Infinita,Federal Republic of Germany,Yes,4,Hauptstraße,,Steinhorst,23847, www.infinita-schule.de,info@infinita-schule.de,004917638591248,https://www.facebook.com/infinita.schule,,,8/1/2013,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Birkenweg+31/@49.578687,8.8192347,17z/data=!3m1!4b1!4m2!3m1!1s0x4797e760547579ff:0x6cc01baf44149a7c",
,Neue Schule Hamburg,Federal Republic of Germany,,11,Schimmelreiterweg,,Hamburg,22149, www.neue-schule-hamburg.org,info@neue-schule-hamburg.org,00494066909945 ,https://www.facebook.com/neueschulehamburg,,,2007,,80,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Schimmelreiterweg+11/@53.59187,10.18095,17z/data=!3m1!4b1!4m2!3m1!1s0x47b18b3a03fa2467:0x4a17cec823bfa19d",
,Taikomųjų mokslų licėjus,Republic of Lithuania,,58,Laisvės prospektas,,Vilnius,05120,http://www.tmlicejus.lt,info@tmlicejus.lt,0037067392687,https://www.facebook.com/tmlicejus,,,1/9/2012,,50,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Laisv%C4%97s+prospektas+58/@54.700186,25.221362,17z/data=!3m1!4b1!4m2!3m1!1s0x46dd93c364efb8ab:0x2fbc75490c0e0317",
,Ziniukas School,Republic of Lithuania,,139A,Žirmūnų gatvė,,Vilnius,09120, www.ziniukas.lt,info@ziniukas.lt,00371852737261,,,,2009,,18,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/%C5%BDirm%C5%ABn%C5%B3+gatv%C4%97+139A/@54.724223,25.2967319,17z/data=!3m1!4b1!4m2!3m1!1s0x46dd96cb2482741b:0xc02453b2eb1528bd",
,5en5is11 School,Kingdom of the Netherlands,Yes,20,Veldstraat,,Maastricht,6227 SZ,http://www.5en5is11.nl,contact@5en5is11.nl,0031438522829,https://www.facebook.com/pages/5en5is11/130565330343391,https://twitter.com/5en5is11,,8/29/2011,,10,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Veldstraat+20/@50.8361497,5.7297023,17z/data=!3m1!4b1!4m2!3m1!1s0x47c0ea2942edb63d:0x2e71892836fc5c1d",
,De Vallei democratische basisschool,Kingdom of the Netherlands,Yes,2,Fazantstraat,,Driel,6665 AX,http://basisschooldevallei.nl,info@natuurlijkleren.net ,0031267370308,https://www.facebook.com/Bsdevallei,https://twitter.com/nldevallei,,2005,,50,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Veldstraat+20/@50.8361497,5.7297023,17z/data=!3m1!4b1!4m2!3m1!1s0x47c0ea2942edb63d:0x2e71892836fc5c1d",
,Escuela Democrática de Huamachuco,Republic of Peru,Yes,208,Jr. Ramon Castilla,,"Huamachuco, La Libertad Region",13301,http://escuela-democratica.org,mail@escuela-democratica.org,005144949080581,https://www.facebook.com/pages/Escuela-Democr%C3%A1tica-de-Huamachuco/274371216029560,,,2009,,16,,,,,,,,,,,,,"https://www.google.com.bd/maps/search/Castilla+208,+Huamachuco,+La+Libertad,+Per%C3%BA/@50.8361497,5.7297023,17z",
,Fundacja Wolna Szkoła,Republic of Poland,,27,Dzierzby Street,,Warsaw,02-836,http://wolnaszkola.org.pl,kontakt@wolnaszkola.org.pl,0048226415715,,,,9/2/2013,,11,,,,,,,,,,,,,,
,Trampolina Szkoła Demokratyczna,Republic of Poland,Yes,108,Za Cytadelą ul.,,Poznań,61-659, www.trampolina.szkola.pl,info@trampolina.szkola.pl,0048531383600,https://www.facebook.com/SzkolaTrampolina,,,9/3/2013,,40,,,,,,,,,,,,,,
,Pumariños School,Kingdom of Spain,No,Camiño dos Pumariños,,,Vigo,36214,http://pumarios.blogaliza.org,pumarinhos@terra.es,,,,,,,8,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Cami%C3%B1o+Pumari%C3%B1os,+2/@42.2040021,-8.6869446,17z/data=!3m1!4b1!4m2!3m1!1s0xd258838cf5ac117:0xede814a285eee865",
,Schule Focus,Swiss Confederation,,9,Wuhrmattstrasse,,Bottmingen,4103,http://www.schulefokus.ch,info@schulefokus.ch,0041614214464,,,,1968,,20,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Wuhrmattstrasse+9/@47.5278586,7.5718209,17z/data=!3m1!4b1!4m2!3m1!1s0x4791b889e2151c2b:0x190fa4009ca60ba6",
,Lindenschule neu in Emmen,Swiss Confederation,Yes,Halden farm,,,Oberkirch,CH-6208,www.lindenschule.ch,info@lindenschule.ch,00419221033,,,,2009,,40,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Halde/@47.1478095,8.1052906,15z/data=!3m1!4b1!4m2!3m1!1s0x478fe0117e88c6cf:0x41bca8d77f844a62",
,"Educational Complex ""AIST School""",Ukraine,,9,Prospekt Yunosti,,Vinnytsia,21021,http://aist.vn.ua/,aist@sovamua.com,00380432433826,,,,1990,,180,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/prospekt+Yunosti,+Vinnitsa,+Vinnitskaya+oblast',+Ukraine/@49.225421,28.411911,17z/data=!3m1!4b1!4m2!3m1!1s0x472d5c428620ff39:0x1b83942a7627adef",
,Afiny School,Ukraine,,35A,Solomenskaya Street,,Kyiv,03141,http://www.athens.kiev.ua,athens@athens.kiev.ua,003805373684,https://www.facebook.com/school.athens,,,1994,,155,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Solomianska+St,+35/@50.421597,30.489284,17z/data=!3m1!4b1!4m2!3m1!1s0x40d4cedba7449b15:0x270bd57ce15669dc",
,Bealings School,United Kingdom of Great Britain and Northern Ireland,,Bealings School,Sandy Lane,,"Little Bealings, Suffolk",IP13 6LW,http://www.bealings.net,bealings_school@yahoo.co.uk,00441473622376,,https://twitter.com/bealingsschool,,2008,,103,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Sandy+Ln/@52.084863,1.2506812,17z/data=!3m1!4b1!4m2!3m1!1s0x47d99ea492d3f299:0xddab91f75fbc1864",
,De Vrije Ruimte,Kingdom of the Netherlands,Yes,15,Stadhouderslaan,,The Hague,2517 HV,http://www.devrijeruimte.org,info@devrijeruimte.org,0031702154800,,https://twitter.com/devrijeruimte1,,2000,,26,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Laan+van+Poot+93/@52.0858789,4.2619964,17z/data=!3m1!4b1!4m2!3m1!1s0x47c5b0eec4a3247b:0xfa44c2374b2df706",
,Guus Kieft School,Kingdom of the Netherlands,Yes,380,Amsterdamseweg,,Amstelveen,1182 HS,http://www.guuskieftschool.nl,info@guuskieftschool.nl,0031648125068,https://www.facebook.com/guuskieftschool,,,2006,,35,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Laan+van+Poot+93/@52.0858789,4.2619964,17z/data=!3m1!4b1!4m2!3m1!1s0x47c5b0eec4a3247b:0xfa44c2374b2df706",
,School De Paradox,Kingdom of the Netherlands,,17A,Enkweg,,Vorden,7251 EV,http://www.schooldeparadox.nl,info@schooldeparadox.nl,0031575470697,https://www.facebook.com/pages/School-de-Paradox/124269154309673,https://twitter.com/SchoolDeParadox,,2004,,8,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Enkweg+17/@52.1057186,6.3227198,17z/data=!3m1!4b1!4m2!3m1!1s0x47c78e07499a0bad:0x5269c442f8c8e2aa",
,Alia College,Commonwealth of Australia,Yes,405,Tooronga Road,,"Hawthorn East, VIC",3123,http://www.alia.vic.edu.au,info@alia.vic.edu.au,0061398229622,https://www.facebook.com/aliacollege,,,2002,,,,,,,,,,,,,,,"https://www.google.com/maps/preview?hl=en&q=Alia+College&ie=UTF8&ll=-37.841631,145.045173&spn=0.008032,0.016587&z=16&iwloc=A",
,"
Blackall Range Independent School",Commonwealth of Australia,Yes,551,Mapleton Road,,"Kureelpa, QLD",4560,http://www.brischool.com.au,office1@brischool.com.au,0061754415227,https://www.facebook.com/brischool,,,1975,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/551+Nambour-Mapleton+Rd/@-26.618025,152.900764,17z/data=!3m1!4b1!4m2!3m1!1s0x6b937f23da058c09:0x417a43816cd538f7",
,Blacktown Youth College,Commonwealth of Australia,Yes,39,Mackellar Road,,"Hebersham, NSW",2770,http://www.blacktownyouthcollege.nsw.edu.au,bycollege2@bigpond.com.au,0061290115335,https://www.facebook.com/pages/Blacktown-Youth-College/342569422509021,,,1997,,130,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/39+Mackellar+Rd/@-33.737373,150.825972,17z/data=!3m1!4b1!4m2!3m1!1s0x6b129ba4d55c3077:0x748ec9f44c3e518c",
,Currambena Primary School and Preschool,Commonwealth of Australia,Yes,205,Longueville Road,,"Lane Cove, NSW",2066,http://currambena.nsw.edu.au,enquiries@currambena.nsw.edu.au,0061294270644,https://www.facebook.com/Currambena,https://twitter.com/Currambena,,1969,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/205+Longueville+Rd/@-33.821016,151.170003,17z/data=!3m1!4b1!4m2!3m1!1s0x6b12af168527e77f:0xdfdc816c637527ae",
,Fitzroy Community School,Commonwealth of Australia,Yes,597,Brunswick Street,,"North Fitzroy, VIC",3068,http://www.fcs.vic.edu.au,info@fcs.vic.edu.au,0061394892356,,,,1976,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/597+Brunswick+St/@-37.789161,144.97973,17z/data=!3m1!4b1!4m2!3m1!1s0x6ad6433cc2d75cf3:0xd7bb1a899af68cf",
,The Hurstbridge Learning Co-operative,Commonwealth of Australia,Yes,10,Laceys Road,,"Hurstbridge, VIC",3099,http://www.hurstbridgelearningcoop.vic.edu.au,info@hurstbridgelearningcoop.vic.edu.au,0061397181481,https://www.facebook.com/Hurstbridge.Learning.Cooperative,,,1973,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Laceys+Rd/@-37.6302153,145.220302,17z/data=!3m1!4b1!4m2!3m1!1s0x6ad634a610fd266b:0x541e3abf32cf262a",
,Maridahdi Early Childhood Community,Commonwealth of Australia,,3,Bowtell Street,,"Toowoomba, QLD",4350,http://www.maridahdi.com,admin@maridahdi.qld.edu.au,0061746351413,https://www.facebook.com/MaridahdiCommunity,,,1973,,63,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/3-7+Bowtell+St/@-27.5835251,151.9816626,17z/data=!3m1!4b1!4m2!3m1!1s0x6b965eaa76e7ed69:0x296ed75ad5f348f9",
,Pine Community School,Commonwealth of Australia,,123,Bunya Road,,"Arana Hills, QLD",4054,http://www.pinecommunityschool.org,admin@pinecommunityschool.org,0061738511496,,,,1972,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/search/PO+Box+65,+Ferny+Hills,+Bris%C2%ADbane,+Queens%C2%ADland,%C2%A04055/@-27.3916852,152.9258253,12z/data=!3m1!4b1",
,"Preshil, The Margaret Lyttle Memorial School",Commonwealth of Australia,Yes,395,Barkers Road,,"Kew, VIC",3101,http://www.preshil.vic.edu.au,preshil@preshil.vic.edu.au,0061398176135,https://www.facebook.com/Preshil,https://twitter.com/preshilkew,,1930,,,,,,,,,,,,,,,,
,Sherbrooke Community School,Commonwealth of Australia,Yes,311,Mount Dandenong Tourist Road,,"Sassafras, VIC",3787,http://www.sherbrooke.vic.edu.au,sherbrooke.community@edumail.vic.gov.au,0061397552007,,,,1985,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/311+Mt+Dandenong+Tourist+Rd/@-37.867846,145.349311,17z/data=!3m1!4b1!4m2!3m1!1s0x6ad624f2cc64e703:0xd4fb6eaee94831c",
,Village School Inc,Commonwealth of Australia,Yes,9,Holloway Road,,"Croydon, VIC",3136,http://www.villageschool.vic.edu.au,admin@villageschool.vic.edu.au,0061397271752,https://www.facebook.com/VillageSchooInc,,,1981,,,,,,,,,,,,,,,"https://www.google.com.au/maps/preview?q=9-13+Holloway+Road,+Croydon+North+VIC+3136&hl=en&sll=-25.335448,135.745076&sspn=63.555439,133.242188&z=17&source=newuser-ws",
,De Weide School,Kingdom of Belgium,,11,Sint-Apolloniastraat,,Erpe-Mere,9420,http://www.deweide.be,info@deweide.be,003253774202,https://www.facebook.com/DeWeide,,,1973,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Mere/@50.9338285,3.9768861,17z/data=!3m1!4b1!4m2!3m1!1s0x47c3a283170a1ced:0xfc95feea8ee50534",
,Vlinderwijs School,Kingdom of Belgium,Yes,2,Erik Sasselaan,,Antwerp,2020,http://www.vlinderwijze.be,administratie@vlinderwijze.be,0032485935004,https://www.facebook.com/pages/Vlinderwijs/145993672095650,,,,,,,,,,,,,,,,,,,
,CIEJA Ermelino Matarazzo,Federative Republic of Brazil,,1954,Avenida Paranaguá,Ermelino Matarazzo,"São Paulo, SP",03806-000,http://ciejaematarazzo.blogspot.ie,,005525477188,,,,1622,,,,,,,,,,,,,,,,
,Agate Private School,Canada,,43,Chaplin Avenue,,St Catharines,L2R 2E4,http://www.learnfree.ca,info@learnfree.ca,0012899689781,https://www.facebook.com/Agate-Private-School-146369488728282,,,,,,,,,,,,,,,,,,,
,ALPHA Alternative School,Canada,,20,Brant Street,,Toronto,M5V 2M1,http://alphaschool.ca,alpha.tdsb@gmail.com,0014163931880,,,,1972,,90,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/20+Brant+St/@43.6458134,-79.3981406,17z/data=!3m1!4b1!4m2!3m1!1s0x882b34dea70ebcbf:0x9e83928e8eb0cce7",
,ALPHA II Alternative School,Canada,,1141,Bloor Street West,,Toronto,M6H 1M9,http://schools.tdsb.on.ca/alpha2,alphaiialternativeschool@tdsb.on.ca,0014163930501,,,,2007,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/1141+Bloor+St+W/@43.6596302,-79.4366089,17z/data=!3m1!4b1!4m2!3m1!1s0x882b345cb2b17bfd:0x25a5e46f7b38f48b",
,Alternative High School,Canada,Yes,5003 - 20,Street Southwest,,Calgary,T2T 5A5,http://schools.cbe.ab.ca/b863,alternative@cbe.ab.ca,0014037777730,https://www.facebook.com/pages/Alternative-High-School-Calgary-Alberta/152925764759507,,,1974,,145,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/5003+20+St+SW/@51.00969,-114.1093537,17z/data=!3m1!4b1!4m2!3m1!1s0x537171b82bf1756b:0x222fe0942182ce1d",
,Freewill International Learning Center,Canada,,1014,Robson Street,,Vancouver,V6E 1B0,http://www.freewilluniversity.net,connect@freewilluniversity.net,0016042838339,https://www.facebook.com/FreewillLearning,https://twitter.com/freewilllearn,,,,150,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/1014+Robson+St/@49.283561,-123.1232387,17z/data=!3m1!4b1!4m2!3m1!1s0x5486718046b917af:0xe64a84245cf43fe3",
,SelfDesign Learning Community,Canada,Yes,4196,West 4th Avenue,,Vancouver,V6R 4J5,http://selfdesign.org,info@selfdesign.org,0018773533374,https://www.facebook.com/SelfDesignLearningCommunity,,,1983,,,1700,,,,,,,,,,,,"https://www.google.com.bd/maps/search/+RPO+Kitsilano+Vancouver,+BC+V6K+4P4/@49.265588,-123.1656319,14z/data=!3m1!4b1",
,Feeniks-koulu,Republic of Finland,,,,,,,http://www.feeniks-koulu.fi,marko@feeniks-koulu.fi,00358504386658,https://www.facebook.com/groups/114566038597034,https://twitter.com/Feenikskoulu,,2005,,53,,,,,,,,,,,,,,
,Ecole de la Neuville,French Republic,,1,Rue Du Chateau,,Chalmaison,77650,http://www.ecoledelaneuville.fr,info@ecole-de-la-neuville.asso.fr,0033164088717,https://www.facebook.com/pages/Ecole-de-la-Neuville/595558767174820,,,1973,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/search/Castle+Tachy++1+rue+du+Ch%C3%A2teau++77650+Chalmaison/@48.5427635,3.0314755,10z/data=!3m1!4b1",
,Freie Aktive Schule Kinderkosmos Esslingen,Federal Republic of Germany,Yes,23,Klosterallee,,Esslingen am Neckar,73733,http://www.kinderkosmos-esslingen.de,sekretariat@kinderkosmos-esslingen.de,004915231865120,https://www.facebook.com/kinderkosmos,,,2004,,30,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Klosterallee+23/@48.738852,9.2695622,17z/data=!3m1!4b1!4m2!3m1!1s0x4799c3e32af42a25:0x71d3c42348438228",
,Freie Aktive Schule Karlsruhe e.V.,Federal Republic of Germany,Yes,131,Erzbergerstraße,,Karlsruhe,76149,http://faska.de,buero@faska.de,004972194197933,https://www.facebook.com/faska.de,,,1996,,10,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Erzbergerstra%C3%9Fe+131/@49.0277471,8.3843023,17z/data=!3m1!4b1!4m2!3m1!1s0x479707068070dbaf:0xaaccf4b1d8b89dee",
,Die Freie Aktive Schule Tübingen,Federal Republic of Germany,,3,Schwärzlocher Straße,,Tübingen,72070,http://www.aktive-schule.de,info@aktive-schule.de,00497071885143,,,,2000,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Schw%C3%A4rzlocher+Hof/@48.517094,9.022762,17z/data=!3m1!4b1!4m2!3m1!1s0x4799fb37ec63f479:0x3ef961739d7a820e",
,Freie Schule am Mauerpark,Federal Republic of Germany,Yes,25,Wolliner Straße,,Berlin,13355,http://www.freieschuleberlin.de,info@freieschuleberlin.de,004942022690,,,,2011,,250,,,,,,,,,,,,,,
,Freien Reformschule Speyer,Federal Republic of Germany,Yes,5,Herdstraße,,Speyer,67346,http://www.reformschule-speyer.de,sekretariat@reformschule-speyer.de﻿,00496232296983,,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Ludwigstra%C3%9Fe+13/@49.3156,8.43618,17z/data=!3m1!4b1!4m2!3m1!1s0x4797b6a4eb595049:0xbe9513706a902135",
,Freie Schule Pankow,Federal Republic of Germany,,9,Boris-Pasternak-Weg,,Berlin,13156,http://freie-schule-pankow.de,info@freie-schule-pankow.de,0049304733083,,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Boris-Pasternak-Weg+9/@52.57624,13.39997,17z/data=!3m1!4b1!4m2!3m1!1s0x47a85242d2d4a41d:0x25cc4414fc9df0eb",
,Freie Schule Spatz,Federal Republic of Germany,,4,Prinz-Eugen-Straße,,Offenburg,77654,http://www.freieschulespatz.de,info@freieschulespatz.de,00497819480824,,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Prinz-Eugen-Stra%C3%9Fe+4/@48.47865,7.95511,17z/data=!3m1!4b1!4m2!3m1!1s0x4796d3734f6d5db9:0xaafa9c722cb9272d",
,Freie Aktive Schule Stuttgart,Federal Republic of Germany,Yes,30,Bopseräcker Straße,,Stuttgart,70597,http://www.fas-stuttgart.de,sekretariat@fas-stuttgart.de,00497116733882,,,,2001,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Bopser%C3%A4cker+33B/@48.7343613,9.1687969,17z/data=!3m1!4b1!4m2!3m1!1s0x4799c334d53f1fb9:0x6f7e6b4a066aec5a",
,LernWerk e.V.,Federal Republic of Germany,,9,Hubweg,,Zuzenhausen,74939,http://www.montessori-lernwerk.de,info@montessori-lernwerk.de,00496226554740,,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/search/stroke+9++74939+Zuzenhausen/@49.2978413,8.8212098,10z/data=!3m1!4b1",
,Schulwerkstatt e.V.,Federal Republic of Germany,Yes,96,Walddörfer Straße,,Altenriet,72657,http://www.schulwerkstatt.com,info@schulwerkstatt.com,00497127925993,,,,2011,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Marchlewskistra%C3%9Fe+40/@52.51363,13.44366,17z/data=!3m1!4b1!4m2!3m1!1s0x47a84e43c84c1109:0xb2087405488e4583",
,Abacus Montessori School,Republic of India,,3,Thirumalai Nagar Annexe III Main Road,,Perungudi,600096,http://www.abacusnow.com,abacusmontessorischool@gmail.com,00914424960904,,,,2011,,400,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Main+Rd,+Saraswathy+Nagar+North,+Neelankarai/@12.9496588,80.2540996,17z/data=!3m1!4b1!4m2!3m1!1s0x3a525d21e2661261:0xa701e8ba9aac5ef2",
,"
בית-הספר הדמוקרטי בבקעת אונו",State of Israel,,22,Wingate Street,,Kiryat Ono,5529424,http://www.onodemocratic.com,onodemo@gmail.com,0097237360767,https://www.facebook.com/democratic.school,,,1999,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Wingate+22/@32.0621182,34.8541773,17z/data=!3m1!4b1!4m2!3m1!1s0x151d4a71756630f3:0xc07cfc58120721e2",
,של בית הספר הדמוקרטי לב השרון,State of Israel,Yes,,,כפר הנוער הדסים,Mishmeret,42845,http://www.dlhschool.com,dlh@netvision.net.il,0097298919256,,,,,,,,,,,,,,,,,,,,
,בית ספר דמוקרטי גבעול,State of Israel,,7,Mivtsa Ezra Street,,Hadera,,http://www.givol.org,info@givol.org,0097246343223,,,,1949,,,,,,,,,,,,,,,,
,Hod Hasharon Democratic School,State of Israel,Yes,53,HaBanim Street,,Hod HaSharon,45105,http://www.hhds.org.il,Info@hhds.org.il ,0097297456354,https://www.facebook.com/tihon.democratic.hod.hasharen,,,,,,,,,,,,,,,,,,,
,"ביה""ס הדמוקרטי סאדברי ירושלים",State of Israel,,21,Mekor Haim Street,,Jerusalem,,http://jerusalemsudbury.com,info@jerusalemsudbury.com,0097226749743,https://www.facebook.com/Jerusalem.Democratic.Sudbury.School,,,2002,,80,,,,,,,,,,,,,https://www.bing.com/maps/default.aspx?v=2&pc=FACEBK&mid=8100&where1=%D7%9E%D7%A7%D7%95%D7%A8+%D7%97%D7%99%D7%99%D7%9D+21%2C+Jerusalem%2C+Israel&FORM=FBKPL0&name=%D7%91%D7%99%D7%94%22%D7%A1+%D7%94%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99+%D7%A1%D7%90%D7%93%D7%91%D7%A8%D7%99+%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D&mkt=en-US,
,בבית הספר הדמוקרטי כנף,,Yes,,,,"Eliad, Golan Heights",,http://www.kanaf.org.il,kanaf.sud@gmail.com,04-6762096,https://www.facebook.com/pages/%D7%91%D7%99%D7%AA-%D7%94%D7%A1%D7%A4%D7%A8-%D7%94%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99-%D7%9B%D7%A0%D7%A3/239176142897693,,,,,,,,,,,,,,,,,,,
,תיכון - קהילה - הדמוקרטי של תל אביב,State of Israel,Yes,53,Derekh Ben-Zvi,,Tel Aviv,,http://www.kehila.org.il,kehilaschool@gmail.com,0097236206258,https://www.facebook.com/kehilaschool,https://twitter.com/kehilaschool,,2005,,,,,,,,,,,,,,,https://www.bing.com/maps/default.aspx?v=2&pc=FACEBK&mid=8100&rtp=adr.~pos.32.082380148_34.7866967116_%D7%A7%D7%94%D7%99%D7%9C%D7%94+-+%D7%91%D7%99%D7%AA+%D7%A1%D7%A4%D7%A8+%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99_%D7%91%D7%9F+%D7%A6%D7%91%D7%99+53%2C+Tel+Aviv%2C+Israel&cp=32.082380148~34.7866967116&lvl=16&sty=r&rtop=0~0~0~&mode=D&FORM=FBKPL1&mkt=en-US,
,"לבית הספר הדמוקרטי ""שחף""",State of Israel,,1,Adulam Street,,Shoham,60850,http://www.shachaf.edu1.org.il,yoni@shachaf.org.il,0097237168811,https://www.facebook.com/shachaf.Democratic.school,,,2002,,,,,,,,,,,,,,,,
,The League for The Arabs of Jaffa,State of Israel,,73,Yeffet st,,Jaffa,68031,http://www.arabyaffa.org,,0097236812290,,,,1948,,,,,,,,,,,,,,,,
,Democratic School Makkuro-kurosuke,Japan,,592,Sakado,Ichikawa-cho,"Kanzaki District, Hyōgo Prefecture",679-2324,http://www.geocities.jp/makkurohp,,0081790261129,,,,,,12,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/592+Sakado/@34.9849099,134.75787,17z/data=!3m1!4b1!4m2!3m1!1s0x35553c8cbcc8f97f:0xd54bc74ccd82edce",
,Kinokuni Children's Village,Japan,,51,Hikotani,,"Hashimoto, Wakayama Prefecture",648-0035,http://www.kinokuni.ac.jp,info@kinokuni.ac.jp,0081736333370,,,,1984,,15,250,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Hikotani/@34.2820491,135.6408761,16z/data=!3m1!4b1!4m2!3m1!1s0x6006d9d434b4e5d1:0xfb621ec16a3fe872",
,Nishinomiya Sudbury School,Japan,Yes,2-15,Hirotachō,,"Nishinomiya, Hyōgo Prefecture",662-0837,http://www.nishinomiya-sud.com,staff@nishinomiya-sud.com,0081798700777,https://www.facebook.com/nishinomiya.sud,https://twitter.com/nishinomiya_sud,,2000,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/2-15+Hirotach%C5%8D/@34.7498731,135.3490553,17z/data=!3m1!4b1!4m2!3m1!1s0x6000f24efbcb90bf:0xbc9d226d3e34436",
,Tokyo Shure Free School ,Japan,,1 Chome-9-19,Kishimachi,Kita,Tokyo,114-0022,http://www.shure.or.jp/,info@shure.or.jp,0081359933135,,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/search/114-0021++,+Kita-ku,+Tokyo+Kishi-machi+1-9-19+/@37.4961721,139.9284096,17z",
,Tokyo Sudbury School,Japan,Yes,7 Chome-9-7,Fukasawa,Setagaya,Tokyo,,http://tokyosudbury.com/,applicant@tokyosudbury.com,03-5706-0133,https://www.facebook.com/tokyosudbury,,,2009,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/7+Chome-9-7+Fukasawa/@35.6237916,139.6455793,17z/data=!3m1!4b1!4m2!3m1!1s0x6018f46157f047b3:0x3654d8d718b31d55",
,Sri Matri Aurobindo Vidhyalaya,Federal Democratic Republic of Nepal,,,Tribhuvan Rajpath,,Mahadevthan,44600,http://www.auronepal.net,sriaurobindo@gmail.com,009779851103156,https://www.facebook.com/pages/Sri-Aurobindo-Yoga-Mandir/149383535120586,,,1993,,,,,,,,,,,,,,,,
,"De Ontdekking, sociocratische school Drenthe",Kingdom of the Netherlands,Yes,99,Noorderdiep,,Nieuw-Buinen,9521 BC,http://www.deontdekkingdrenthe.nl,info@deontdekkingdrenthe.nl,0031599785373,https://www.facebook.com/DeOntdekkingSociocratischeSchoolDrentheEo,https://twitter.com/DeOntdekkingDR,,2013,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Noorderdiep+99/@52.9613764,6.9406644,17z/data=!3m1!4b1!4m2!3m1!1s0x47b7db3cb1ea290b:0xf26c6a0c21a7209",
,Libertad-Breda School,Kingdom of the Netherlands,Yes,36,Doelen,,Breda,4803 ES,http://www.libertad-breda.nl,info@libertad-breda.nl,0031628309035,https://www.facebook.com/076Libertad,https://twitter.com/libertad076,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Blauwe+Kei+1/@51.577236,4.798582,17z/data=!3m1!4b1!4m2!3m1!1s0x47c6a1dafbcddf4d:0x6e0bd075f144362d",
